Date,State,CONTRIBUTOR ID,LGA,Outlet Type,Latitude,Longitude,Country,Sector,Food Item,UOM,Quantity,Price Category,Price,Weight,UPRICE
2025-01-08,LAGOS,8,KOSOFE,RoadSide shops street vendors,6.6061836,3.3817617,Nigeria,Urban,Sorghum,0.22,1.0,Retail,1000.0,0.22,4545.45
2025-01-08,ZAMFARA,5,TALATA MAFARA,RoadSide shops street vendors,12.5694423,6.0625806,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1800.0,1.5,1200.0
2025-01-08,RIVERS,8,PORT HARCOURT,RoadSide shops street vendors,4.7958438,7.0124398,Nigeria,Urban,Sorghum,0.15,1.0,Retail,350.0,0.15,2333.33
2025-01-08,RIVERS,8,PORT HARCOURT,City market,4.7958843,7.0125461,Nigeria,Urban,Sorghum,0.15,1.0,Wholesale,350.0,0.15,2333.33
2025-01-08,RIVERS,8,PORT HARCOURT,Open air or covered market,4.795841,7.0124336,Nigeria,Urban,Sorghum,0.15,1.0,Retail,350.0,0.15,2333.33
2025-01-08,KADUNA,23,ZARIA,Open air or covered market,11.0991869,7.7011112,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1800.0,1.5,1200.0
2025-01-08,DELTA,15,ISOKO NORTH,Open air or covered market,5.5415842,6.2279664,Nigeria,Urban,Sorghum,0.22,1.0,Wholesale,2500.0,0.22,11363.64
2025-01-08,DELTA,15,ISOKO NORTH,Open air or covered market,5.5417346,6.2279429,Nigeria,Urban,Sorghum,0.22,1.0,Wholesale,2250.0,0.22,10227.27
2025-01-08,KADUNA,23,ZARIA,Open air or covered market,11.0991869,7.7011112,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1800.0,1.5,1200.0
2025-01-06,EBONYI,6,IVO,Local village market,5.9540932,7.5610943,Nigeria,Rural,Sorghum,0.15,1.0,Retail,300.0,0.15,2000.0
2025-01-06,EBONYI,6,IVO,Local village market,5.9542315,7.5612401,Nigeria,Rural,Sorghum,0.15,1.0,Retail,300.0,0.15,2000.0
2025-01-08,NIGER,15,KONTAGORA,RoadSide shops street vendors,10.4041784,5.4888285,Nigeria,Urban,Sorghum,1.5,1.0,Retail,900.0,1.5,600.0
2025-01-08,NIGER,15,KONTAGORA,RoadSide shops street vendors,10.404307,5.4888174,Nigeria,Urban,Sorghum,1.5,1.0,Retail,900.0,1.5,600.0
2025-01-08,NIGER,15,KONTAGORA,RoadSide shops street vendors,10.404285,5.4886883,Nigeria,Urban,Sorghum,1.5,1.0,Retail,900.0,1.5,600.0
2024-12-16,EKITI,9,ISE/ORUN,RoadSide shops street vendors,7.4633166,5.4248546,Nigeria,Urban,Sorghum,1.6,1.0,Retail,1800.0,1.6,1125.0
